EXTRATO DE CONTA CORRENTE C6 BANK

Agência: 1 / Conta: 123456789
Extrato gerado em 20/01/2026 - as 17:33:57

Extrato de 01/01/2025 a 20/01/2026


Data Lançamento,Data Contábil,Título,Descrição,Entrada(R$),Saída(R$),Saldo do Dia(R$)
02/01/2025,02/01/2025,Pix recebido de EMPRESA ABC LTDA,Pix recebido de EMPRESA ABC LTDA,3500.00,0.00,3500.00
02/01/2025,02/01/2025,Pix enviado para IMOBILIARIA XYZ,TRANSF ENVIADA PIX,0.00,1200.00,2300.00
03/01/2025,03/01/2025,Pix enviado para SUPERMERCADO BOM PRECO,TRANSF ENVIADA PIX,0.00,450.50,1849.50
05/01/2025,05/01/2025,DEBITO DE CARTAO ,RESTAURANTE SABOR CASEIRO SAO PAULO BRA,0.00,65.90,1783.60
07/01/2025,07/01/2025,Pix enviado para UBER DO BRASIL TECNOLOGIA LTDA.,TRANSF ENVIADA PIX,0.00,25.80,1757.80
08/01/2025,08/01/2025,TARIFA MANUTENCAO CP,Tarifa Conta Ref 122024,0.00,10.00,1747.80
10/01/2025,10/01/2025,Pix recebido de JOAO DA SILVA,Pix recebido de JOAO DA SILVA,150.00,0.00,1897.80
10/01/2025,10/01/2025,Pix enviado para JOAO DA SILVA,TRANSF ENVIADA PIX,0.00,75.00,1822.80
12/01/2025,12/01/2025,DEBITO DE CARTAO ,PANVEL FARMACIAS SAO PAULO BRA,0.00,45.90,1776.90
15/01/2025,15/01/2025,DEBITO DE CARTAO ,NETFLIX.COM SAO PAULO BRA,0.00,55.90,1721.00
18/01/2025,18/01/2025,Pix enviado para ACADEMIA FITNESS CENTER,TRANSF ENVIADA PIX,0.00,99.90,1621.10
20/01/2025,20/01/2025,DEBITO DE CARTAO ,IFOOD SAO PAULO BRA,0.00,48.50,1572.60
22/01/2025,22/01/2025,Pix enviado para MARIA SANTOS,TRANSF ENVIADA PIX,0.00,200.00,1372.60
25/01/2025,25/01/2025,DEBITO DE CARTAO ,POSTO IPIRANGA SAO PAULO BRA,0.00,180.00,1192.60
28/01/2025,28/01/2025,DEBITO DE CARTAO ,CINEMA MULTIPLEX SAO PAULO BRA,0.00,62.00,1130.60
01/02/2025,01/02/2025,Pix recebido de EMPRESA ABC LTDA,Pix recebido de EMPRESA ABC LTDA,3500.00,0.00,4630.60
01/02/2025,01/02/2025,Pix enviado para IMOBILIARIA XYZ,TRANSF ENVIADA PIX,0.00,1200.00,3430.60
03/02/2025,03/02/2025,Pix enviado para SUPERMERCADO BOM PRECO,TRANSF ENVIADA PIX,0.00,520.30,2910.30
05/02/2025,05/02/2025,DEBITO DE CARTAO ,OUTBACK STEAKHOUSE SAO PAULO BRA,0.00,189.90,2720.40
08/02/2025,08/02/2025,TARIFA MANUTENCAO CP,Tarifa Conta Ref 012025,0.00,10.00,2710.40
10/02/2025,10/02/2025,Pix recebido de PEDRO OLIVEIRA,Pix recebido de PEDRO OLIVEIRA,80.00,0.00,2790.40
10/02/2025,10/02/2025,Pix enviado para PEDRO OLIVEIRA,TRANSF ENVIADA PIX,0.00,40.00,2750.40
12/02/2025,12/02/2025,SAQUE BANCO 24H,TERMINAL TECBAN,0.00,500.00,2250.40
12/02/2025,12/02/2025,TAR SAQUE TERMINAL,Taxa de Saque,0.00,6.50,2243.90
15/02/2025,15/02/2025,DEBITO DE CARTAO ,SPOTIFY BRAZIL SAO PAULO BRA,0.00,21.90,2222.00
18/02/2025,18/02/2025,Pix enviado para BARBEARIA DO ZE,TRANSF ENVIADA PIX,0.00,45.00,2177.00
20/02/2025,20/02/2025,DEBITO DE CARTAO ,MERCADO LIVRE SAO PAULO BRA,0.00,299.90,1877.10
25/02/2025,25/02/2025,Pix enviado para UBER DO BRASIL TECNOLOGIA LTDA.,TRANSF ENVIADA PIX,0.00,35.60,1841.50
28/02/2025,28/02/2025,DEBITO DE CARTAO ,DROGARIA SAO PAULO SAO PAULO BRA,0.00,78.50,1763.00
01/03/2025,01/03/2025,Pix recebido de EMPRESA ABC LTDA,Pix recebido de EMPRESA ABC LTDA,3500.00,0.00,5263.00
01/03/2025,01/03/2025,Pix enviado para IMOBILIARIA XYZ,TRANSF ENVIADA PIX,0.00,1200.00,4063.00
05/03/2025,05/03/2025,Pix enviado para SUPERMERCADO BOM PRECO,TRANSF ENVIADA PIX,0.00,380.20,3682.80
08/03/2025,08/03/2025,TARIFA MANUTENCAO CP,Tarifa Conta Ref 022025,0.00,10.00,3672.80
10/03/2025,10/03/2025,DEBITO DE CARTAO ,RESTAURANTE ITALIANO SAO PAULO BRA,0.00,145.00,3527.80
15/03/2025,15/03/2025,Pix enviado para ANA COSTA,TRANSF ENVIADA PIX,0.00,100.00,3427.80
20/03/2025,20/03/2025,DEBITO DE CARTAO ,LIVRARIA CULTURA SAO PAULO BRA,0.00,89.90,3337.90
25/03/2025,25/03/2025,Pix enviado para POSTO SHELL,TRANSF ENVIADA PIX,0.00,200.00,3137.90
31/03/2025,31/03/2025,Pix recebido de CARLOS FERREIRA,Pix recebido de CARLOS FERREIRA,250.00,0.00,3387.90
